source_path,curated_path,status,priority,chapter,bibtex_key,notes
"Diplomová práca/sources_old/High priority/Improving Trackmania Reinforcement Learning Performance - A Comparison of Sophy and Trackmania AI.pdf","Diplomová práca/Sources/trackmania_related/Neinders_2023_Improving_Trackmania_RL_Performance.pdf",context_only,medium,suvisiace_prace,neinders_trackmania_sophy2023,"Trackmania/Sophy comparison; likely student/community source, use cautiously."
"Diplomová práca/sources_old/High priority/Neural Network versus Behavior Based Approach in Simulated Car Racing Game.pdf","Diplomová práca/Sources/ai_games_racing/Neural_Network_vs_Behavior_Based_Simulated_Car_Racing.pdf",supporting,medium,suvisiace_prace,nn_vs_behavior_racing2010,"Useful contrast of NN and behavior-based controllers."
"Diplomová práca/sources_old/High priority/Simulated Autonomous Driving Using Reinforcement Learning - A Comparative Study on Unity’s ML-Agents Framework.pdf","Diplomová práca/Sources/ai_games_racing/Simulated_Autonomous_Driving_RL_Unity_ML_Agents.pdf",supporting,low,suvisiace_prace,,Unity ML-Agents comparison; optional supporting source."
"Diplomová práca/sources_old/Low priority/A Survey of Large Language Models for Autonomous Driving.pdf","",discard_candidate,low,none,,LLM/autonomous driving survey is not central to current thesis."
"Diplomová práca/sources_old/Low priority/A Systematic Review of Perception System and Simulators for Autonomous Vehicles Research.pdf","Diplomová práca/Sources/ai_games_racing/Systematic_Review_Perception_Simulators_AV.pdf",supporting,low,suvisiace_prace,,Could support simulation/perception background, but avoid overloading thesis."
"Diplomová práca/sources_old/Low priority/Autonomous Car Simulation using Machine Learning.pdf","Diplomová práca/Sources/ai_games_racing/Autonomous_Car_Simulation_using_Machine_Learning.pdf",context_only,low,suvisiace_prace,,Low-priority context only."
"Diplomová práca/sources_old/Low priority/Believable Bots.pdf","Diplomová práca/Sources/ai_games_racing/Believable_Bots.pdf",supporting,low,suvisiace_prace,,Game AI/bots context; cite only if needed."
"Diplomová práca/sources_old/Low priority/Comparing driving behavior of humans and autonomous driving in a professional racing simulator.pdf","Diplomová práca/Sources/ai_games_racing/Comparing_Human_Autonomous_Driving_Professional_Racing_Simulator.pdf",supporting,low,vyhodnotenie,,Potential context for comparing human and autonomous driving behavior."
"Diplomová práca/sources_old/Low priority/DEEP REINFORCEMENT LEARNING IN AUTONOMOUS CAR PATH.pdf","",discard_candidate,low,none,,Generic and weakly connected; not copied."
"Diplomová práca/sources_old/Low priority/Design and development of an autonomous agent for The Open Race Car Simulator using Deep Reinforcement Learning.pdf","Diplomová práca/Sources/ai_games_racing/Autonomous_Agent_TORCS_DRL.pdf",supporting,medium,suvisiace_prace,,TORCS DRL implementation context; secondary to TORCS/SCRC core citations."
"Diplomová práca/sources_old/Low priority/End-to-End Driving with Temporal and Global Reasoning.pdf","Diplomová práca/Sources/ai_games_racing/End_to_End_Driving_Temporal_Global_Reasoning.pdf",supporting,low,suvisiace_prace,,Optional end-to-end autonomous driving context."
"Diplomová práca/sources_old/Low priority/End-To-End Training and Testing Gamification Framework.pdf","Diplomová práca/Sources/ai_games_racing/End_to_End_Training_Testing_Gamification_Framework.pdf",context_only,low,suvisiace_prace,,Gamification/simulation context, use only if needed."
"Diplomová práca/sources_old/Low priority/Towards Risk Aware Racing Agents Learning Adaptive Policies in Competitive Racing Games.pdf","Diplomová práca/Sources/ai_games_racing/Risk_Aware_Racing_Agents_Adaptive_Policies.pdf",supporting,medium,suvisiace_prace,,Relevant to racing agents and risk, supporting source."
"Diplomová práca/sources_old/Medium priority/Application of Game Refinement Theory.pdf","",discard_candidate,low,none,,Game refinement theory is not central to our argument."
"Diplomová práca/sources_old/Medium priority/Autonomous Vehicles - Evolution of Artificial Intelligence and the Current Industry Landscape.pdf","Diplomová práca/Sources/ai_games_racing/Autonomous_Vehicles_AI_Evolution_Industry_Landscape.pdf",context_only,low,suvisiace_prace,,Broad AV context only."
"Diplomová práca/sources_old/Medium priority/Computationally efficient behaviour based controller for real time car racing simulation.pdf","Diplomová práca/Sources/ai_games_racing/Computationally_Efficient_Behaviour_Based_Controller_Racing.pdf",supporting,medium,suvisiace_prace,,Relevant behavior-based racing controller."
"Diplomová práca/sources_old/Medium priority/Deep Learning in Games to Improve Autonomous Driving.pdf","Diplomová práca/Sources/ai_games_racing/Deep_Learning_in_Games_to_Improve_Autonomous_Driving.pdf",supporting,medium,suvisiace_prace,,Games as AV research/simulation context."
"Diplomová práca/sources_old/Medium priority/Formal Scenario-Based Testing of Autonomous Vehicles.pdf","Diplomová práca/Sources/ai_games_racing/Formal_Scenario_Based_Testing_Autonomous_Vehicles.pdf",supporting,low,vyhodnotenie,,Testing/validation context; not central."
"Diplomová práca/sources_old/Medium priority/Recent Advancements in End-to-End Autonomous Driving using Deep.pdf","Diplomová práca/Sources/ai_games_racing/Recent_Advancements_End_to_End_Autonomous_Driving.pdf",supporting,low,suvisiace_prace,,Generic end-to-end driving survey; optional."
"Diplomová práca/sources_old/Medium priority/SIMULATION, TESTING, VERIFICATION, AND VALIDATION OF AUTONOMOUS DRIVING.pdf","Diplomová práca/Sources/ai_games_racing/Simulation_Testing_Verification_Validation_Autonomous_Driving.pdf",supporting,low,vyhodnotenie,,Simulation/testing context; optional."
"Diplomová práca/zadanie_diplomova.PDF","Diplomová práca/Sources/formal_requirements/zadanie_diplomova.pdf",core,high,formal_requirements,,Official thesis assignment copied for local reference."
